obs_no,Date_Time,Temp_C,RH_pc,Pressure_mbar,Rain_mm,PAR_µmol,DewPt_C
960,5/17/2021 16:30,10.394,94.6,1009.75,0.8,378.7,9.6
961,5/17/2021 17:00,10.834,94.5,1009.45,0,266.2,10
962,5/17/2021 17:30,10.785,94.3,1009.25,0.2,301.2,9.9
963,5/17/2021 18:00,10.418,93.9,1008.65,0,136.2,9.5
964,5/17/2021 18:30,10.541,93.7,1007.95,0,228.7,9.6
965,5/17/2021 19:00,10.638,93.1,1007.45,0,251.2,9.6
966,5/17/2021 19:30,10.149,93.2,1007.25,0,21.2,9.1
967,5/17/2021 20:00,9.485,93.9,1007.15,0.2,28.7,8.6
968,5/17/2021 20:30,9.46,94.5,1006.65,0.2,3.7,8.6
969,5/17/2021 21:00,9.854,95.3,1006.35,0.2,1.2,9.1
970,5/17/2021 21:30,8.965,95.3,1007.55,0.2,1.2,8.3
971,5/17/2021 22:00,8.27,93.9,1008.75,0,1.2,7.4
972,5/17/2021 22:30,8.07,92.1,1009.35,0,1.2,6.9
973,5/17/2021 23:00,7.895,89.2,1009.85,0,1.2,6.2
974,5/17/2021 23:30,7.945,88.9,1010.35,0,1.2,6.2
975,5/18/2021 0:00,8.02,88,1010.95,0,1.2,6.2
976,5/18/2021 0:30,8.27,87.8,1011.35,0,1.2,6.4
977,5/18/2021 1:00,8.344,86.4,1011.85,0,1.2,6.2
978,5/18/2021 1:30,7.116,90.9,1012.25,0.4,1.2,5.7
979,5/18/2021 2:00,7.268,89.8,1012.65,0.2,1.2,5.7
980,5/18/2021 2:30,6.965,88.8,1012.95,0,1.2,5.3
981,5/18/2021 3:00,7.444,90,1013.25,0,1.2,5.9
982,5/18/2021 3:30,7.745,90.5,1013.45,0,1.2,6.3
983,5/18/2021 4:00,7.77,88.7,1013.85,0,1.2,6
984,5/18/2021 4:30,7.619,86.5,1014.15,0,1.2,5.5
985,5/18/2021 5:00,7.92,89.4,1014.25,0,1.2,6.3
986,5/18/2021 5:30,7.77,89.3,1014.45,0,3.7,6.1
987,5/18/2021 6:00,7.469,89.3,1014.75,0,33.7,5.8
988,5/18/2021 6:30,8.12,88.2,1014.95,0,291.2,6.3
989,5/18/2021 7:00,7.82,87.8,1015.45,0,191.2,5.9
990,5/18/2021 7:30,8.469,85,1015.75,0,598.7,6.1
991,5/18/2021 8:00,8.717,84.8,1016.15,0,708.7,6.3
992,5/18/2021 8:30,9.114,85,1016.45,0,798.7,6.7
993,5/18/2021 9:00,9.558,84.7,1016.95,0,1051.2,7.1
994,5/18/2021 9:30,9.608,84.8,1017.15,0,1198.7,7.2
995,5/18/2021 10:00,9.41,85.7,1017.35,0,1486.2,7.1
996,5/18/2021 10:30,10.492,82.6,1017.55,0,1586.2,7.7
997,5/18/2021 11:00,10.516,81.7,1017.75,0,1541.2,7.5
998,5/18/2021 11:30,11.029,81.1,1018.05,0,1656.2,7.9
999,5/18/2021 12:00,11.467,80.6,1018.35,0,1721.2,8.3
1000,5/18/2021 12:30,11.613,78.3,1018.65,0,1766.2,8
1001,5/18/2021 13:00,12.001,78.8,1018.95,0,1776.2,8.4
1002,5/18/2021 13:30,13.377,76.1,1018.95,0,1771.2,9.3
1003,5/18/2021 14:00,14.122,74.1,1019.05,0,1761.2,9.6
1004,5/18/2021 14:30,12.727,76,1019.05,0,1701.2,8.6
1005,5/18/2021 15:00,13.257,73.4,1019.25,0,1636.2,8.6
1006,5/18/2021 15:30,12.92,73.1,1019.55,0,1551.2,8.2
1007,5/18/2021 16:00,14.266,72,1019.55,0,1441.2,9.3
1008,5/18/2021 16:30,14.864,68.6,1019.35,0,1316.2,9.2
1009,5/18/2021 17:00,14.194,69.1,1019.25,0,1183.7,8.6
1010,5/18/2021 17:30,14.074,68.4,1019.35,0,1031.2,8.4
1011,5/18/2021 18:00,14.361,69.4,1019.35,0,866.2,8.8
1012,5/18/2021 18:30,13.738,68.7,1019.25,0,698.7,8.1
1013,5/18/2021 19:00,14.098,69.5,1018.95,0,526.2,8.6
1014,5/18/2021 19:30,14.721,67.6,1018.85,0,356.2,8.8
1015,5/18/2021 20:00,13.281,71.9,1018.75,0,191.2,8.3
1016,5/18/2021 20:30,10.443,76.9,1018.95,0,18.7,6.6
1017,5/18/2021 21:00,9.213,80.5,1019.15,0,6.2,6
1018,5/18/2021 21:30,8.941,81,1019.35,0,1.2,5.9
1019,5/18/2021 22:00,8.668,82.4,1019.45,0,1.2,5.8
1020,5/18/2021 22:30,8.519,84.3,1019.25,0,1.2,6
1021,5/18/2021 23:00,8.494,85,1019.35,0,1.2,6.1
1022,5/18/2021 23:30,8.17,84.1,1019.25,0,1.2,5.7
1023,5/19/2021 0:00,7.87,84.7,1019.05,0,1.2,5.5
1024,5/19/2021 0:30,7.745,85.9,1018.75,0,1.2,5.5
1025,5/19/2021 1:00,7.67,84.9,1018.75,0,1.2,5.3
1026,5/19/2021 1:30,7.419,85.5,1018.65,0,1.2,5.2
1027,5/19/2021 2:00,7.72,85.6,1018.65,0,1.2,5.5
1028,5/19/2021 2:30,7.544,86.5,1018.65,0,1.2,5.4
1029,5/19/2021 3:00,7.192,87,1018.55,0,1.2,5.2
1030,5/19/2021 3:30,6.813,87.4,1018.45,0,1.2,4.9
1031,5/19/2021 4:00,6.204,87.5,1018.45,0,1.2,4.3
1032,5/19/2021 4:30,5.745,89.7,1018.35,0,1.2,4.2
1033,5/19/2021 5:00,5.898,90.3,1018.15,0,1.2,4.4
1034,5/19/2021 5:30,5.385,91.1,1018.15,0,6.2,4.1
1035,5/19/2021 6:00,5.308,91.7,1017.95,0,58.7,4.1
1036,5/19/2021 6:30,6,92,1018.25,0,223.7,4.8
1037,5/19/2021 7:00,7.519,91.6,1018.45,0,386.2,6.2
1038,5/19/2021 7:30,7.77,90.5,1018.45,0,621.2,6.3
1039,5/19/2021 8:00,8.419,88.8,1018.45,0,713.7,6.7
1040,5/19/2021 8:30,8.668,86.8,1018.45,0,888.7,6.6
1041,5/19/2021 9:00,9.238,85.8,1018.35,0,1056.2,7
1042,5/19/2021 9:30,9.977,84.1,1018.15,0,1228.7,7.4
1043,5/19/2021 10:00,10.1,81.7,1018.05,0,1341.2,7.1
1044,5/19/2021 10:30,9.928,82,1017.95,0,1471.2,7
1045,5/19/2021 11:00,10.296,82.5,1017.95,0,1573.7,7.5
1046,5/19/2021 11:30,10.541,81,1018.05,0,1661.2,7.4
1047,5/19/2021 12:00,11.053,81.1,1018.15,0,1716.2,7.9
1048,5/19/2021 12:30,11.807,78.7,1018.15,0,1761.2,8.2
1049,5/19/2021 13:00,11.953,80.2,1018.35,0,1791.2,8.7
1050,5/19/2021 13:30,12.147,78.4,1018.35,0,1823.7,8.5
1051,5/19/2021 14:00,12.509,78,1018.25,0,1846.2,8.8
1052,5/19/2021 14:30,14.337,73.6,1018.15,0,1566.2,9.7
1053,5/19/2021 15:00,12.847,75,1018.15,0,1511.2,8.5
1054,5/19/2021 15:30,13.786,71.2,1018.05,0,1471.2,8.7
1055,5/19/2021 16:00,14.409,69.2,1017.55,0,1563.7,8.9
1056,5/19/2021 16:30,14.218,71.7,1017.55,0,1538.7,9.2
1057,5/19/2021 17:00,13.449,72.5,1017.25,0,1198.7,8.6
1058,5/19/2021 17:30,13.185,75.4,1017.35,0,1033.7,8.9
1059,5/19/2021 18:00,12.823,76.9,1017.35,0,876.2,8.9
1060,5/19/2021 18:30,12.268,79.2,1017.15,0,731.2,8.8
1061,5/19/2021 19:00,12.147,80,1016.95,0,686.2,8.8
1062,5/19/2021 19:30,12.05,80.4,1017.15,0,468.7,8.8
1063,5/19/2021 20:00,11.516,81.5,1017.25,0,293.7,8.5
1064,5/19/2021 20:30,10.32,84,1017.25,0,73.7,7.7
1065,5/19/2021 21:00,10.198,84.8,1017.25,0,6.2,7.8
1066,5/19/2021 21:30,9.706,84.8,1017.25,0,1.2,7.3
1067,5/19/2021 22:00,9.435,87.6,1017.25,0,1.2,7.5
1068,5/19/2021 22:30,9.213,88.5,1016.85,0,1.2,7.4
1069,5/19/2021 23:00,9.114,89.3,1016.95,0,1.2,7.5
1070,5/19/2021 23:30,9.015,89.9,1016.95,0,1.2,7.5
1071,5/20/2021 0:00,8.965,90.4,1016.95,0,1.2,7.5
1072,5/20/2021 0:30,9.163,90.8,1016.75,0,1.2,7.7
1073,5/20/2021 1:00,9.46,91.2,1016.85,0,1.2,8.1
1074,5/20/2021 1:30,9.41,91.3,1016.65,0,1.2,8.1
1075,5/20/2021 2:00,9.213,91.8,1016.55,0,1.2,8
1076,5/20/2021 2:30,8.916,92,1016.45,0,1.2,7.7
1077,5/20/2021 3:00,8.792,92.2,1016.55,0,1.2,7.6
1078,5/20/2021 3:30,8.817,92.4,1016.35,0,1.2,7.7
1079,5/20/2021 4:00,8.767,92.6,1016.25,0,1.2,7.6
1080,5/20/2021 4:30,8.965,92.6,1016.35,0,1.2,7.8
1081,5/20/2021 5:00,8.941,92.2,1016.55,0,1.2,7.8
1082,5/20/2021 5:30,8.693,92.2,1016.35,0,6.2,7.5
1083,5/20/2021 6:00,8.469,92.5,1016.45,0,58.7,7.3
1084,5/20/2021 6:30,8.941,92.7,1016.65,0,148.7,7.8
1085,5/20/2021 7:00,9.312,92,1016.85,0,198.7,8.1
1086,5/20/2021 7:30,9.534,91.6,1017.15,0,203.7,8.2
1087,5/20/2021 8:00,10.858,90.6,1017.15,0,413.7,9.4
1088,5/20/2021 8:30,10.785,88.8,1017.25,0,528.7,9
1089,5/20/2021 9:00,12.292,87.9,1017.05,0,641.2,10.4
1090,5/20/2021 9:30,11.297,86.7,1017.35,0,548.7,9.2
1091,5/20/2021 10:00,12.775,86,1017.25,0,1493.7,10.5
1092,5/20/2021 10:30,13.714,84.9,1017.15,0,1576.2,11.2
1093,5/20/2021 11:00,12.944,83.2,1017.15,0,1578.7,10.2
1094,5/20/2021 11:30,13.016,81.7,1017.15,0,1651.2,10
1095,5/20/2021 12:00,14.481,80.2,1017.05,0,1716.2,11.1
1096,5/20/2021 12:30,15.175,77.8,1017.05,0,1753.7,11.3
1097,5/20/2021 13:00,15.581,75.7,1017.35,0,1773.7,11.3
1098,5/20/2021 13:30,14.649,77.2,1017.35,0,1766.2,10.7
1099,5/20/2021 14:00,14.673,77.6,1017.75,0,1668.7,10.8
1100,5/20/2021 14:30,14.266,79.2,1017.95,0,1891.2,10.7
1101,5/20/2021 15:00,15.008,77.4,1018.15,0,1663.7,11.1
1102,5/20/2021 15:30,16.082,76.2,1018.35,0,1576.2,11.9
1103,5/20/2021 16:00,15.652,75.5,1018.45,0,1423.7,11.4
1104,5/20/2021 16:30,16.558,74.6,1018.45,0,1313.7,12
1105,5/20/2021 17:00,17.177,72,1018.25,0,1186.2,12.1
1106,5/20/2021 17:30,16.939,73.5,1018.45,0,1033.7,12.2
1107,5/20/2021 18:00,18.533,69.5,1018.35,0,876.2,12.9
1108,5/20/2021 18:30,17.653,70.8,1018.35,0,718.7,12.3
1109,5/20/2021 19:00,15.748,76,1018.45,0,608.7,11.5
1110,5/20/2021 19:30,13.978,78.7,1018.35,0,318.7,10.4
1111,5/20/2021 20:00,12.968,82.3,1018.55,0,181.2,10
1112,5/20/2021 20:30,11.637,85.2,1018.65,0,48.7,9.2
1113,5/20/2021 21:00,10.98,86.5,1019.05,0,3.7,8.8
1114,5/20/2021 21:30,10.516,87,1019.25,0,1.2,8.5
1115,5/20/2021 22:00,10.467,87.7,1019.25,0,1.2,8.5
1116,5/20/2021 22:30,10.296,88.2,1019.45,0,1.2,8.4
1117,5/20/2021 23:00,10.247,88.7,1019.55,0,1.2,8.5
1118,5/20/2021 23:30,10.247,88.8,1019.45,0,1.2,8.5
1119,5/21/2021 0:00,9.977,89.6,1019.75,0,1.2,8.4
1120,5/21/2021 0:30,9.903,90.3,1020.15,0,1.2,8.4
1121,5/21/2021 1:00,9.805,90.2,1019.95,0,1.2,8.3
1122,5/21/2021 1:30,9.805,89.9,1020.05,0,1.2,8.2
1123,5/21/2021 2:00,9.78,90,1020.05,0,1.2,8.2
1124,5/21/2021 2:30,9.706,90.1,1020.15,0,1.2,8.2
1125,5/21/2021 3:00,9.706,90.4,1020.25,0,1.2,8.2
1126,5/21/2021 3:30,9.731,91,1020.35,0,1.2,8.3
1127,5/21/2021 4:00,9.608,91.1,1020.15,0,1.2,8.2
1128,5/21/2021 4:30,9.558,91,1020.15,0,1.2,8.2
1129,5/21/2021 5:00,9.41,90.7,1020.35,0,1.2,8
1130,5/21/2021 5:30,9.435,90.5,1020.45,0,1.2,8
1131,5/21/2021 6:00,9.287,91.6,1020.25,0,11.2,8
1132,5/21/2021 6:30,9.312,92,1020.35,0,31.2,8.1
1133,5/21/2021 7:00,9.435,91.3,1020.25,0,58.7,8.1
1134,5/21/2021 7:30,9.312,91.5,1020.55,0,103.7,8
1135,5/21/2021 8:00,9.583,91.6,1020.55,0,148.7,8.3
1136,5/21/2021 8:30,9.805,91.5,1020.75,0,158.7,8.5
1137,5/21/2021 9:00,9.854,91.5,1020.75,0,271.2,8.5
1138,5/21/2021 9:30,10.124,91.2,1020.85,0,303.7,8.8
1139,5/21/2021 10:00,10.369,90.7,1020.85,0,531.2,8.9
1140,5/21/2021 10:30,10.932,89.5,1020.85,0,566.2,9.3
1141,5/21/2021 11:00,12.098,89.2,1020.85,0,666.2,10.4
1142,5/21/2021 11:30,11.856,87.2,1021.05,0,678.7,9.8
1143,5/21/2021 12:00,11.832,87.4,1021.05,0,758.7,9.8
1144,5/21/2021 12:30,12.389,87.2,1020.95,0,888.7,10.3
1145,5/21/2021 13:00,12.122,87.2,1020.85,0,843.7,10.1
1146,5/21/2021 13:30,12.243,87.2,1020.95,0,831.2,10.2
1147,5/21/2021 14:00,12.05,87,1020.95,0,721.2,10
1148,5/21/2021 14:30,12.316,87.2,1020.75,0,871.2,10.3
1149,5/21/2021 15:00,12.074,87.3,1020.75,0,541.2,10
1150,5/21/2021 15:30,11.394,87.6,1020.95,0,651.2,9.4
1151,5/21/2021 16:00,11.151,86.3,1020.95,0,408.7,9
1152,5/21/2021 16:30,11.2,87.9,1020.95,0,343.7,9.3
1153,5/21/2021 17:00,10.541,87.9,1020.95,0,433.7,8.6
1154,5/21/2021 17:30,10.296,88.7,1021.15,0,263.7,8.5
1155,5/21/2021 18:00,10.1,89.4,1020.95,0,178.7,8.4
1156,5/21/2021 18:30,10.026,89.8,1021.15,0,151.2,8.4
1157,5/21/2021 19:00,9.485,90.7,1021.25,0,48.7,8.1
1158,5/21/2021 19:30,9.312,91.3,1021.25,0,63.7,8
1159,5/21/2021 20:00,9.287,91.5,1021.25,0,33.7,8
1160,5/21/2021 20:30,9.386,91.3,1021.25,0,13.7,8
1161,5/21/2021 21:00,9.361,91.9,1020.95,0,1.2,8.1
1162,5/21/2021 21:30,9.262,92.1,1020.85,0,1.2,8.1
1163,5/21/2021 22:00,9.188,92.2,1021.05,0,1.2,8
1164,5/21/2021 22:30,9.188,92.4,1020.95,0,1.2,8
1165,5/21/2021 23:00,9.213,92.7,1021.15,0,1.2,8.1
1166,5/21/2021 23:30,9.312,92.5,1021.05,0,1.2,8.2
1167,5/22/2021 0:00,9.361,93,1020.95,0,1.2,8.3
1168,5/22/2021 0:30,9.386,93.1,1020.55,0,1.2,8.3
1169,5/22/2021 1:00,9.41,93.2,1020.45,0,1.2,8.4
1170,5/22/2021 1:30,9.361,93.1,1020.35,0,1.2,8.3
1171,5/22/2021 2:00,9.336,93.4,1020.15,0,1.2,8.3
1172,5/22/2021 2:30,9.312,93.4,1020.05,0,1.2,8.3
1173,5/22/2021 3:00,9.312,93.6,1019.85,0,1.2,8.3
1174,5/22/2021 3:30,9.312,93.6,1019.65,0,1.2,8.3
1175,5/22/2021 4:00,9.238,93.7,1019.75,0,1.2,8.3
1176,5/22/2021 4:30,9.238,93.8,1019.35,0,1.2,8.3
1177,5/22/2021 5:00,9.163,93.8,1019.35,0,1.2,8.2
1178,5/22/2021 5:30,9.114,94.2,1019.15,0,1.2,8.2
1179,5/22/2021 6:00,9.114,94.3,1019.05,0,11.2,8.3
1180,5/22/2021 6:30,9.114,94.4,1019.05,0,36.2,8.3
1181,5/22/2021 7:00,9.089,94.4,1019.15,0,78.7,8.2
1182,5/22/2021 7:30,9.312,94.6,1019.25,0,101.2,8.5
1183,5/22/2021 8:00,9.509,94.5,1019.05,0,153.7,8.7
1184,5/22/2021 8:30,9.879,94,1019.05,0,231.2,9
1185,5/22/2021 9:00,10.345,93,1018.75,0,381.2,9.3
1186,5/22/2021 9:30,10.907,91.9,1018.75,0,453.7,9.7
1187,5/22/2021 10:00,11.224,91.2,1018.55,0,538.7,9.9
1188,5/22/2021 10:30,10.858,90.6,1018.45,0,458.7,9.4
1189,5/22/2021 11:00,11.127,89.9,1018.25,0,518.7,9.5
1190,5/22/2021 11:30,11.783,88.8,1018.15,0,636.2,10
1191,5/22/2021 12:00,12.243,87.4,1017.95,0,981.2,10.2
1192,5/22/2021 12:30,12.558,86,1017.65,0,698.7,10.3
1193,5/22/2021 13:00,13.281,85.8,1017.35,0,1063.7,11
1194,5/22/2021 13:30,13.425,86.8,1017.35,0,1536.2,11.3
1195,5/22/2021 14:00,14.242,83.2,1017.15,0,1933.7,11.4
1196,5/22/2021 14:30,13.257,84,1017.15,0,1411.2,10.6
1197,5/22/2021 15:00,14.266,81.8,1017.05,0,1246.2,11.2
1198,5/22/2021 15:30,14.361,83,1016.85,0,921.2,11.5
1199,5/22/2021 16:00,12.678,86.9,1016.65,0,576.2,10.6
1200,5/22/2021 16:30,12.582,88.4,1016.65,0,438.7,10.7
1201,5/22/2021 17:00,12.364,88.7,1016.75,0,481.2,10.6
1202,5/22/2021 17:30,12.001,90.4,1016.55,0,228.7,10.5
1203,5/22/2021 18:00,11.492,92.3,1016.55,0,241.2,10.3
1204,5/22/2021 18:30,11.467,93.6,1016.45,0,181.2,10.5
1205,5/22/2021 19:00,11.224,94.5,1016.15,0,101.2,10.4
1206,5/22/2021 19:30,11.078,94.3,1016.25,0,86.2,10.2
1207,5/22/2021 20:00,10.541,94.3,1016.25,0,58.7,9.7
1208,5/22/2021 20:30,10.247,94.6,1016.15,0,31.2,9.4
1209,5/22/2021 21:00,9.903,95.4,1016.25,0,3.7,9.2
1210,5/22/2021 21:30,9.952,95.3,1016.15,0,1.2,9.2
1211,5/22/2021 22:00,9.829,95.2,1016.45,0,1.2,9.1
1212,5/22/2021 22:30,9.731,95.5,1016.25,0,1.2,9.1
1213,5/22/2021 23:00,9.632,95.6,1016.35,0,1.2,9
1214,5/22/2021 23:30,9.583,96,1016.15,0,1.2,9
1215,5/23/2021 0:00,9.485,96.3,1015.95,0,1.2,8.9
1216,5/23/2021 0:30,9.46,96.7,1015.75,0,1.2,9
1217,5/23/2021 1:00,9.608,96.8,1015.55,0,1.2,9.1
1218,5/23/2021 1:30,9.731,96.8,1015.25,0,1.2,9.3
1219,5/23/2021 2:00,9.854,96.8,1015.05,0,1.2,9.4
1220,5/23/2021 2:30,9.854,96.7,1014.85,0,1.2,9.4
1221,5/23/2021 3:00,9.854,96.5,1014.75,0,1.2,9.3
1222,5/23/2021 3:30,9.928,96.3,1014.65,0,1.2,9.4
1223,5/23/2021 4:00,9.977,96.1,1014.45,0,1.2,9.4
1224,5/23/2021 4:30,9.903,96,1014.35,0,1.2,9.3
1225,5/23/2021 5:00,9.706,95.9,1014.25,0,1.2,9.1
1226,5/23/2021 5:30,9.558,96.3,1014.25,0,1.2,9
1227,5/23/2021 6:00,9.534,96.4,1014.45,0,6.2,9
1228,5/23/2021 6:30,9.41,96.4,1014.35,0,26.2,8.9
1229,5/23/2021 7:00,9.558,96.4,1014.45,0,76.2,9
1230,5/23/2021 7:30,9.509,96.5,1014.85,0,93.7,9
1231,5/23/2021 8:00,9.756,96.5,1014.75,0,153.7,9.2
1232,5/23/2021 8:30,10.124,96.4,1014.95,0,278.7,9.6
1233,5/23/2021 9:00,10.541,96.3,1014.95,0,286.2,10
1234,5/23/2021 9:30,10.687,95.9,1014.75,0,383.7,10.1
1235,5/23/2021 10:00,11.151,95.2,1015.05,0,296.2,10.4
1236,5/23/2021 10:30,11.37,94.2,1014.85,0,396.2,10.5
1237,5/23/2021 11:00,11.734,94.8,1014.85,0,871.2,10.9
1238,5/23/2021 11:30,11.856,93.5,1015.05,0,468.7,10.9
1239,5/23/2021 12:00,12.171,92.7,1015.15,0,573.7,11
1240,5/23/2021 12:30,11.856,92.3,1015.05,0,713.7,10.7
1241,5/23/2021 13:00,11.637,90.6,1015.05,0,918.7,10.2
1242,5/23/2021 13:30,12.195,90.3,1015.25,0,1156.2,10.7
1243,5/23/2021 14:00,12.292,89.4,1015.45,0,848.7,10.6
1244,5/23/2021 14:30,12.147,89.2,1015.65,0,446.2,10.4
1245,5/23/2021 15:00,12.485,89.3,1015.55,0,763.7,10.8
1246,5/23/2021 15:30,12.582,88.9,1015.85,0,431.2,10.8
1247,5/23/2021 16:00,12.05,91.7,1015.75,0,418.7,10.8
1248,5/23/2021 16:30,11.297,92.6,1015.85,0,343.7,10.2
1249,5/23/2021 17:00,11.297,93.1,1015.85,0,328.7,10.2
1250,5/23/2021 17:30,10.834,95,1015.95,0,258.7,10.1
1251,5/23/2021 18:00,10.687,95.3,1015.95,0,256.2,10
1252,5/23/2021 18:30,10.418,95.5,1015.95,0,141.2,9.7
1253,5/23/2021 19:00,10.394,95.6,1015.95,0,98.7,9.7
1254,5/23/2021 19:30,10.296,95.5,1016.35,0,96.2,9.6
1255,5/23/2021 20:00,10.271,95.2,1016.25,0,33.7,9.5
1256,5/23/2021 20:30,10.124,95.4,1016.05,0,8.7,9.4
1257,5/23/2021 21:00,9.952,95.6,1016.05,0,3.7,9.3
1258,5/23/2021 21:30,9.78,96,1016.05,0,1.2,9.2
1259,5/23/2021 22:00,9.706,96.3,1016.05,0,1.2,9.2
1260,5/23/2021 22:30,9.558,96.3,1015.85,0,1.2,9
1261,5/23/2021 23:00,9.509,96.5,1015.75,0,1.2,9
1262,5/23/2021 23:30,9.756,96.5,1015.45,0,1.2,9.2
1263,5/24/2021 0:00,9.829,96.7,1015.45,0,1.2,9.3
1264,5/24/2021 0:30,9.879,96.6,1015.25,0,1.2,9.4
1265,5/24/2021 1:00,9.163,96.2,1015.15,0,1.2,8.6
1266,5/24/2021 1:30,9.015,96.3,1015.05,0,1.2,8.5
1267,5/24/2021 2:00,9.015,96.6,1014.95,0,1.2,8.5
1268,5/24/2021 2:30,9.015,96.7,1014.95,0,1.2,8.5
1269,5/24/2021 3:00,8.965,96.6,1014.75,0,1.2,8.5
1270,5/24/2021 3:30,9.139,96.5,1014.55,0,1.2,8.6
1271,5/24/2021 4:00,9.213,96.3,1014.45,0,1.2,8.7
1272,5/24/2021 4:30,9.287,96.3,1014.25,0,1.2,8.7
1273,5/24/2021 5:00,9.312,96.5,1014.15,0,1.2,8.8
1274,5/24/2021 5:30,9.064,96.4,1013.85,0.2,1.2,8.5
1275,5/24/2021 6:00,9.064,96.4,1013.65,0,11.2,8.5
1276,5/24/2021 6:30,9.188,96.6,1013.65,0.2,33.7,8.7
1277,5/24/2021 7:00,9.089,96.7,1013.25,0,8.7,8.6
1278,5/24/2021 7:30,9.163,96.9,1013.25,0,56.2,8.7
1279,5/24/2021 8:00,9.312,97.1,1012.95,0.2,96.2,8.9
1280,5/24/2021 8:30,9.361,97.1,1012.95,0.2,138.7,8.9
1281,5/24/2021 9:00,9.608,97.3,1012.85,0.2,136.2,9.2
1282,5/24/2021 9:30,10.075,97.1,1012.75,0.4,251.2,9.6
1283,5/24/2021 10:00,10.736,97.3,1012.55,0.6,226.2,10.3
1284,5/24/2021 10:30,11.88,97.1,1012.45,0,413.7,11.4
1285,5/24/2021 11:00,12.05,96.8,1012.75,0.2,261.2,11.6
1286,5/24/2021 11:30,11.759,96.7,1012.75,0.2,408.7,11.3
1287,5/24/2021 12:00,12.219,96.6,1012.75,0,568.7,11.7
1288,5/24/2021 12:30,12.171,96.3,1013.25,0,533.7,11.6
1289,5/24/2021 13:00,12.025,96.1,1013.45,0,431.2,11.4
1290,5/24/2021 13:30,13.449,95.8,1013.45,0,808.7,12.8
1291,5/24/2021 14:00,13.594,93.1,1013.75,0,541.2,12.5
1292,5/24/2021 14:30,12.098,93.8,1013.85,0,508.7,11.1
1293,5/24/2021 15:00,11.565,93.8,1013.95,0,306.2,10.6
1294,5/24/2021 15:30,11.71,94,1013.85,0,633.7,10.8
1295,5/24/2021 16:00,12.364,93.1,1013.95,0,453.7,11.3
1296,5/24/2021 16:30,12.098,93.2,1013.85,0,316.2,11
1297,5/24/2021 17:00,12.413,93.2,1013.95,0,173.7,11.4
1298,5/24/2021 17:30,12.63,93.4,1013.85,0,183.7,11.6
1299,5/24/2021 18:00,12.34,94.2,1013.75,0,203.7,11.4
1300,5/24/2021 18:30,12.147,94.8,1013.95,0,123.7,11.4
1301,5/24/2021 19:00,11.734,94.8,1014.15,0,66.2,10.9
1302,5/24/2021 19:30,11.662,94.7,1014.25,0,53.7,10.9
1303,5/24/2021 20:00,11.662,95,1014.45,0,58.7,10.9
1304,5/24/2021 20:30,11.419,95.6,1014.45,0,36.2,10.8
1305,5/24/2021 21:00,11.321,95.7,1014.55,0.2,6.2,10.7
1306,5/24/2021 21:30,11.102,96.1,1014.85,0,1.2,10.5
1307,5/24/2021 22:00,10.736,96.1,1014.85,0,1.2,10.2
1308,5/24/2021 22:30,10.541,96.6,1015.15,0,1.2,10
1309,5/24/2021 23:00,10.565,96.6,1015.45,0,1.2,10.1
1310,5/24/2021 23:30,10.394,96.7,1015.55,0.2,1.2,9.9
1311,5/25/2021 0:00,10.051,96.9,1015.45,0.2,1.2,9.6
1312,5/25/2021 0:30,10.1,97.1,1015.35,0,1.2,9.7
1313,5/25/2021 1:00,10.173,97,1015.35,0,1.2,9.7
1314,5/25/2021 1:30,10.051,97,1015.15,0,1.2,9.6
1315,5/25/2021 2:00,9.78,96.9,1015.15,0,1.2,9.3
1316,5/25/2021 2:30,9.854,96.8,1015.05,0,1.2,9.4
1317,5/25/2021 3:00,9.879,96.8,1014.95,0,1.2,9.4
1318,5/25/2021 3:30,9.952,96.6,1014.95,0,1.2,9.4
1319,5/25/2021 4:00,9.952,96.5,1014.75,0,1.2,9.4
1320,5/25/2021 4:30,9.977,96.4,1014.95,0,1.2,9.4
1321,5/25/2021 5:00,9.952,96.4,1014.95,0,1.2,9.4
1322,5/25/2021 5:30,9.952,96.4,1015.05,0,1.2,9.4
1323,5/25/2021 6:00,9.854,96.2,1015.35,0,18.7,9.3
1324,5/25/2021 6:30,10.173,96.3,1015.45,0,63.7,9.6
1325,5/25/2021 7:00,10.467,96.1,1015.65,0.2,96.2,9.9
1326,5/25/2021 7:30,10.712,96.2,1015.95,0,166.2,10.1
1327,5/25/2021 8:00,10.736,96,1016.25,0,171.2,10.1
1328,5/25/2021 8:30,11.88,96.1,1016.05,0,503.7,11.3
1329,5/25/2021 9:00,11.759,95.3,1016.15,0,493.7,11
1330,5/25/2021 9:30,12.582,94.4,1016.15,0,603.7,11.7
1331,5/25/2021 10:00,12.098,93.6,1016.25,0,886.2,11.1
1332,5/25/2021 10:30,12.025,92.5,1016.35,0,983.7,10.9
1333,5/25/2021 11:00,12.654,92.6,1016.65,0,906.2,11.5
1334,5/25/2021 11:30,13.449,92.2,1016.65,0,836.2,12.2
1335,5/25/2021 12:00,13.088,91,1016.85,0,968.7,11.7
1336,5/25/2021 12:30,13.834,91,1017.15,0,1328.7,12.4
1337,5/25/2021 13:00,15.605,86.9,1017.35,0,1193.7,13.4
1338,5/25/2021 13:30,15.008,87.9,1017.25,0,1311.2,13
