obs_no,Date_Time,Temp_C,RH_pc,Pressure_mbar,Rain_mm,PAR_µmol,DewPt_C
88,4/29/2021 12:30,13.546,82.9,1020.45,0,1316.2,10.7
89,4/29/2021 13:00,14.697,81.6,1020.65,0,1663.7,11.6
90,4/29/2021 13:30,15.031,81.1,1020.55,0,981.2,11.8
91,4/29/2021 14:00,14.505,82.3,1020.95,0,1161.2,11.5
92,4/29/2021 14:30,14.84,80.4,1021.05,0,1376.2,11.5
93,4/29/2021 15:00,15.557,76.4,1021.25,0,1403.7,11.4
94,4/29/2021 15:30,14.553,79.6,1021.35,0,1111.2,11.1
95,4/29/2021 16:00,15.39,76.6,1021.25,0,1041.2,11.3
96,4/29/2021 16:30,16.034,75.1,1020.65,0,851.2,11.6
97,4/29/2021 17:00,15.509,76.5,1020.65,0,831.2,11.4
98,4/29/2021 17:30,13.064,81.9,1020.75,0,521.2,10.1
99,4/29/2021 18:00,13.305,82.8,1020.55,0,266.2,10.5
100,4/29/2021 18:30,12.534,84.3,1020.25,0,191.2,10
101,4/29/2021 19:00,12.292,85.1,1020.15,0,53.7,9.9
102,4/29/2021 19:30,11.759,87.7,1020.25,0,18.7,9.8
103,4/29/2021 20:00,11.224,91,1020.45,0.2,3.7,9.8
104,4/29/2021 20:30,11.224,92.1,1020.25,0.2,1.2,10
105,4/29/2021 21:00,11.005,92.7,1020.35,0.2,1.2,9.9
106,4/29/2021 21:30,10.932,93.1,1020.65,0.8,1.2,9.9
107,4/29/2021 22:00,10.785,93.6,1020.85,0.6,1.2,9.8
108,4/29/2021 22:30,10.663,94.1,1020.35,1,1.2,9.8
109,4/29/2021 23:00,10.687,94.1,1020.45,0.6,1.2,9.8
110,4/29/2021 23:30,10.663,94.2,1020.05,0.6,1.2,9.8
111,4/30/2021 0:00,10.638,94.7,1019.95,0.4,1.2,9.8
112,4/30/2021 0:30,10.638,95,1019.85,0.4,1.2,9.9
113,4/30/2021 1:00,10.59,95.3,1019.35,0.6,1.2,9.9
114,4/30/2021 1:30,10.638,95.4,1019.35,0.2,1.2,9.9
115,4/30/2021 2:00,10.687,95.6,1018.95,1.6,1.2,10
